Datetime (Local),Price (EUR/MWhe)
2022-01-01 00:00:00,89.06
2022-01-01 01:00:00,78.48
2022-01-01 02:00:00,85.16
2022-01-01 03:00:00,50.0
2022-01-01 04:00:00,37.67
2022-01-01 05:00:00,39.7
2022-01-01 06:00:00,40.59
2022-01-01 07:00:00,43.26
2022-01-01 08:00:00,49.66
2022-01-01 09:00:00,70.05
2022-01-01 10:00:00,76.79
2022-01-01 11:00:00,84.1
2022-01-01 12:00:00,94.74
2022-01-01 13:00:00,96.8
2022-01-01 14:00:00,97.17
2022-01-01 15:00:00,98.52
2022-01-01 16:00:00,114.5
2022-01-01 17:00:00,149.97
2022-01-01 18:00:00,146.33
2022-01-01 19:00:00,140.28
2022-01-01 20:00:00,121.88
2022-01-01 21:00:00,102.61
2022-01-01 22:00:00,97.46
2022-01-01 23:00:00,85.16
2022-01-02 00:00:00,57.08
2022-01-02 01:00:00,52.59
2022-01-02 02:00:00,48.97
2022-01-02 03:00:00,34.94
2022-01-02 04:00:00,29.56
2022-01-02 05:00:00,33.97
2022-01-02 06:00:00,34.52
2022-01-02 07:00:00,41.8
2022-01-02 08:00:00,48.95
2022-01-02 09:00:00,60.01
2022-01-02 10:00:00,70.09
2022-01-02 11:00:00,66.26
2022-01-02 12:00:00,64.54
2022-01-02 13:00:00,46.96
2022-01-02 14:00:00,40.01
2022-01-02 15:00:00,39.3
2022-01-02 16:00:00,40.79
2022-01-02 17:00:00,47.91
2022-01-02 18:00:00,65.09
2022-01-02 19:00:00,67.85
2022-01-02 20:00:00,62.22
2022-01-02 21:00:00,46.16
2022-01-02 22:00:00,46.29
2022-01-02 23:00:00,32.93
2022-01-03 00:00:00,2.71
2022-01-03 01:00:00,1.71
2022-01-03 02:00:00,1.24
2022-01-03 03:00:00,0.06
2022-01-03 04:00:00,0.09
2022-01-03 05:00:00,1.44
2022-01-03 06:00:00,41.11
2022-01-03 07:00:00,90.54
2022-01-03 08:00:00,161.79
2022-01-03 09:00:00,180.36
2022-01-03 10:00:00,125.03
2022-01-03 11:00:00,100.74
2022-01-03 12:00:00,96.39
2022-01-03 13:00:00,95.22
2022-01-03 14:00:00,102.67
2022-01-03 15:00:00,112.87
2022-01-03 16:00:00,126.8
2022-01-03 17:00:00,148.49
2022-01-03 18:00:00,175.06
2022-01-03 19:00:00,180.0
2022-01-03 20:00:00,146.43
2022-01-03 21:00:00,105.71
2022-01-03 22:00:00,114.11
2022-01-03 23:00:00,100.36
2022-01-04 00:00:00,125.47
2022-01-04 01:00:00,115.55
2022-01-04 02:00:00,113.29
2022-01-04 03:00:00,105.81
2022-01-04 04:00:00,105.0
2022-01-04 05:00:00,115.11
2022-01-04 06:00:00,156.91
2022-01-04 07:00:00,182.64
2022-01-04 08:00:00,178.91
2022-01-04 09:00:00,190.0
2022-01-04 10:00:00,189.88
2022-01-04 11:00:00,182.42
2022-01-04 12:00:00,182.46
2022-01-04 13:00:00,179.59
2022-01-04 14:00:00,179.0
2022-01-04 15:00:00,180.93
2022-01-04 16:00:00,166.69
2022-01-04 17:00:00,189.88
2022-01-04 18:00:00,184.94
2022-01-04 19:00:00,178.99
2022-01-04 20:00:00,156.12
2022-01-04 21:00:00,148.65
2022-01-04 22:00:00,137.92
2022-01-04 23:00:00,105.0
2022-01-05 00:00:00,120.11
2022-01-05 01:00:00,105.1
2022-01-05 02:00:00,84.5
2022-01-05 03:00:00,75.38
2022-01-05 04:00:00,79.11
2022-01-05 05:00:00,94.79
2022-01-05 06:00:00,169.04
2022-01-05 07:00:00,215.98
2022-01-05 08:00:00,211.13
2022-01-05 09:00:00,226.52
2022-01-05 10:00:00,224.45
2022-01-05 11:00:00,202.8
2022-01-05 12:00:00,205.0
2022-01-05 13:00:00,197.34
2022-01-05 14:00:00,195.6
2022-01-05 15:00:00,200.0
2022-01-05 16:00:00,206.07
2022-01-05 17:00:00,242.1
2022-01-05 18:00:00,265.0
2022-01-05 19:00:00,265.0
2022-01-05 20:00:00,241.93
2022-01-05 21:00:00,218.95
2022-01-05 22:00:00,207.46
2022-01-05 23:00:00,200.0
2022-01-06 00:00:00,207.15
2022-01-06 01:00:00,204.22
2022-01-06 02:00:00,191.82
2022-01-06 03:00:00,180.7
2022-01-06 04:00:00,170.1
2022-01-06 05:00:00,194.38
2022-01-06 06:00:00,204.22
2022-01-06 07:00:00,228.25
2022-01-06 08:00:00,240.98
2022-01-06 09:00:00,257.44
2022-01-06 10:00:00,245.24
2022-01-06 11:00:00,231.9
2022-01-06 12:00:00,226.0
2022-01-06 13:00:00,209.2
2022-01-06 14:00:00,216.06
2022-01-06 15:00:00,230.77
2022-01-06 16:00:00,245.95
2022-01-06 17:00:00,274.11
2022-01-06 18:00:00,273.44
2022-01-06 19:00:00,278.36
2022-01-06 20:00:00,251.71
2022-01-06 21:00:00,229.96
2022-01-06 22:00:00,216.44
2022-01-06 23:00:00,210.0
2022-01-07 00:00:00,213.47
2022-01-07 01:00:00,189.0
2022-01-07 02:00:00,180.0
2022-01-07 03:00:00,164.9
2022-01-07 04:00:00,162.8
2022-01-07 05:00:00,165.0
2022-01-07 06:00:00,165.2
2022-01-07 07:00:00,215.89
2022-01-07 08:00:00,254.19
2022-01-07 09:00:00,257.24
2022-01-07 10:00:00,254.18
2022-01-07 11:00:00,241.22
2022-01-07 12:00:00,240.2
2022-01-07 13:00:00,212.69
2022-01-07 14:00:00,207.05
2022-01-07 15:00:00,210.11
2022-01-07 16:00:00,220.21
2022-01-07 17:00:00,243.84
2022-01-07 18:00:00,260.0
2022-01-07 19:00:00,250.0
2022-01-07 20:00:00,239.09
2022-01-07 21:00:00,213.81
2022-01-07 22:00:00,216.13
2022-01-07 23:00:00,205.74
2022-01-08 00:00:00,184.96
2022-01-08 01:00:00,162.79
2022-01-08 02:00:00,166.0
2022-01-08 03:00:00,161.63
2022-01-08 04:00:00,160.0
2022-01-08 05:00:00,154.3
2022-01-08 06:00:00,166.0
2022-01-08 07:00:00,182.91
2022-01-08 08:00:00,215.89
2022-01-08 09:00:00,231.0
2022-01-08 10:00:00,228.95
2022-01-08 11:00:00,215.39
2022-01-08 12:00:00,206.68
2022-01-08 13:00:00,185.0
2022-01-08 14:00:00,169.52
2022-01-08 15:00:00,162.8
2022-01-08 16:00:00,161.73
2022-01-08 17:00:00,189.9
2022-01-08 18:00:00,189.16
2022-01-08 19:00:00,185.53
2022-01-08 20:00:00,159.47
2022-01-08 21:00:00,126.09
2022-01-08 22:00:00,123.73
2022-01-08 23:00:00,147.94
2022-01-09 00:00:00,109.18
2022-01-09 01:00:00,89.61
2022-01-09 02:00:00,80.24
2022-01-09 03:00:00,55.46
2022-01-09 04:00:00,45.82
2022-01-09 05:00:00,48.5
2022-01-09 06:00:00,74.29
2022-01-09 07:00:00,89.78
2022-01-09 08:00:00,104.79
2022-01-09 09:00:00,147.36
2022-01-09 10:00:00,149.48
2022-01-09 11:00:00,157.71
2022-01-09 12:00:00,167.63
2022-01-09 13:00:00,165.06
2022-01-09 14:00:00,170.09
2022-01-09 15:00:00,189.04
2022-01-09 16:00:00,190.96
2022-01-09 17:00:00,223.3
2022-01-09 18:00:00,243.94
2022-01-09 19:00:00,240.0
2022-01-09 20:00:00,230.82
2022-01-09 21:00:00,214.02
2022-01-09 22:00:00,215.88
2022-01-09 23:00:00,203.8
2022-01-10 00:00:00,196.23
2022-01-10 01:00:00,191.85
2022-01-10 02:00:00,195.91
2022-01-10 03:00:00,186.66
2022-01-10 04:00:00,178.04
2022-01-10 05:00:00,191.65
2022-01-10 06:00:00,237.44
2022-01-10 07:00:00,299.95
2022-01-10 08:00:00,313.92
2022-01-10 09:00:00,315.0
2022-01-10 10:00:00,310.41
2022-01-10 11:00:00,310.08
2022-01-10 12:00:00,300.0
2022-01-10 13:00:00,297.01
2022-01-10 14:00:00,299.96
2022-01-10 15:00:00,302.73
2022-01-10 16:00:00,297.97
2022-01-10 17:00:00,313.79
2022-01-10 18:00:00,310.82
2022-01-10 19:00:00,294.98
2022-01-10 20:00:00,267.45
2022-01-10 21:00:00,242.23
2022-01-10 22:00:00,217.03
2022-01-10 23:00:00,198.93
2022-01-11 00:00:00,210.34
2022-01-11 01:00:00,202.42
2022-01-11 02:00:00,197.6
2022-01-11 03:00:00,193.0
2022-01-11 04:00:00,194.9
2022-01-11 05:00:00,204.45
2022-01-11 06:00:00,230.92
2022-01-11 07:00:00,286.61
2022-01-11 08:00:00,300.02
2022-01-11 09:00:00,297.16
2022-01-11 10:00:00,277.02
2022-01-11 11:00:00,261.69
2022-01-11 12:00:00,249.44
2022-01-11 13:00:00,247.7
2022-01-11 14:00:00,255.01
2022-01-11 15:00:00,277.9
2022-01-11 16:00:00,289.94
2022-01-11 17:00:00,316.4
2022-01-11 18:00:00,315.9
2022-01-11 19:00:00,309.2
2022-01-11 20:00:00,285.33
2022-01-11 21:00:00,245.0
2022-01-11 22:00:00,235.22
2022-01-11 23:00:00,211.84
2022-01-12 00:00:00,196.65
2022-01-12 01:00:00,187.1
2022-01-12 02:00:00,184.27
2022-01-12 03:00:00,179.58
2022-01-12 04:00:00,178.33
2022-01-12 05:00:00,193.5
2022-01-12 06:00:00,236.76
2022-01-12 07:00:00,273.18
2022-01-12 08:00:00,300.1
2022-01-12 09:00:00,292.74
2022-01-12 10:00:00,275.5
2022-01-12 11:00:00,258.65
2022-01-12 12:00:00,245.11
2022-01-12 13:00:00,232.08
2022-01-12 14:00:00,234.77
2022-01-12 15:00:00,240.01
2022-01-12 16:00:00,255.0
2022-01-12 17:00:00,284.82
2022-01-12 18:00:00,285.97
2022-01-12 19:00:00,269.03
2022-01-12 20:00:00,253.1
2022-01-12 21:00:00,222.79
2022-01-12 22:00:00,213.64
2022-01-12 23:00:00,200.22
2022-01-13 00:00:00,190.0
2022-01-13 01:00:00,188.72
2022-01-13 02:00:00,187.87
